"05-01-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"Clancy & Theys Construction Company - Raleigh","A1649","0.00","0.00","0","0.00","0.00","0","0","1337847.07","0.00","22.63","1430342.19","0.00","8.64","-92495.12"
"Clancy & Theys Construction Company - Wilmington","A1663","0.00","0.00","0","0.00","0.00","0","0","6493.53","0.00","100","241202.55","0.00","-336.12","-234709.02"
"Clyde Moore - Myrtle Beach","A2087","0.00","0.00","0","0.00","0.00","0","0","-2777.00","0.00","108.68","0.00","0.00","0","-2777"
"Coastal Premier Homes (Arthur Rutenburg Franchise) - Charleston","A1531","0.00","0.00","0","0.00","0.00","0","0","172798.60","0.00","13.92","0.02","0.00","-236784665.83","172798.58"
"Conquest Homes, LLC - Columbia","A2025","0.00","0.00","0","0.00","0.00","0","0","55481.99","0.00","28.91","26511.01","0.00","27.46","28970.98"
"Copper Builders - Greensboro","A2135","0.00","0.00","0","0.00","0.00","0","0","34851.00","0.00","54.1","0.00","0.00","0","34851"
"Cruz Built LLC - Greensboro","A1624","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","-2455.15","0.00","-114.53","2455.15"
"Cumberland Homes (TMD Res.) - Raleigh","29","0.00","0.00","0","11069.98","0.00","26.1","-11069.98","94354.71","0.00","14.6","267473.06","0.00","25.91","-173118.35"
"D Hall Construction - Columbia","A1994","0.00","0.00","0","0.00","0.00","0","0","13340.00","0.00","28.17","62485.01","0.00","42.6","-49145.01"
"DAVID WEEKLEY HOMES - RALEIGH","604","0.00","0.00","0","15623.13","0.00","17.56","-15623.13","262925.95","0.00","20.94","352979.63","0.00","16.66","-90053.68"
"DO NOT USE Starlight Homes - Raleigh","A1763","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"DO NOT USE Vanir Installed Sales, LLC - House Account","4","0.00","0.00","0","0.00","0.00","0","0","419.73","0.00","-1721.62","0.00","0.00","0","419.73"
"DPR Construction - Raleigh","A2081","0.00","0.00","0","0.00","0.00","0","0","145782.00","0.00","78.39","0.00","0.00","0","145782"
"DR Horton - Raleigh","A1619","0.00","0.00","0","0.00","0.00","0","0","700.00","0.00","100","19643.17","0.00","-9.93","-18943.17"
"DR Horton - Wilmington","A2014","0.00","0.00","0","0.00","0.00","0","0","266429.95","0.00","14.78","0.00","0.00","0","266429.95"
"Dan Ryan Builders - Charleston","A1626","0.00","0.00","0","-260.00","0.00","100","260","322326.33","0.00","-31.61","186535.05","0.00","-55.84","135791.28"
"Dave Johnson - Raleigh","A2095","0.00","0.00","0","0.00","0.00","0","0","33087.00","0.00","18.4","0.00","0.00","0","33087"
"David Taylor - Wilmington","A1967","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","58030.77","0.00","11.98","-58030.77"
"Davidson Home Crafters - Raleigh","81","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Disney Construction - Greensboro","A1863","0.00","0.00","0","0.00","0.00","0","0","39699.00","0.00","28.95","21500.00","0.00","-0.25","18199"
"Dove Homes, LLC - Raleigh","A2063","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Dream Finders Homes - Charlotte","A1718","0.00","0.00","0","0.00","0.00","0","0","135019.47","0.00","18.73","89602.50","0.00","-4.91","45416.97"
"Dream Finders Homes - Greensboro","A1627","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","1007.87","0.00","-129.27","-1007.87"
"Dream Finders Homes - Myrtle Beach","A1647","0.00","0.00","0","325.00","0.00","23.08","-325","497449.88","0.00","18.46","535078.25","0.00","19.01","-37628.37"
"Dream Finders Homes - Raleigh","A1714","0.00","0.00","0","41222.01","0.00","24.87","-41222.01","529137.46","0.00","7.76","551761.35","0.00","9.63","-22623.89"
"Dream Finders Homes - Wilmington","A1651","0.00","0.00","0","0.00","0.00","0","0","382153.71","0.00","15.78","518894.15","0.00","21.02","-136740.44"
"Drees Homes - Raleigh","A1940","0.00","0.00","0","0.00","0.00","0","0","202966.81","0.00","6.38","154043.00","0.00","9.04","48923.81"
"Dwell South East, LLC - Myrtle Beach","A2072","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"EDC (Eilerson Dev. Group) - Raleigh","A1850","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","291480.77","0.00","39.75","-291480.77"
"EMJ - Charlotte","A1782","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","268871.67","0.00","24.46","-268871.67"
"Edgerton Home Builders LLC","A2131","0.00","0.00","0","0.00","0.00","0","0","9540.02","0.00","21.85","0.00","0.00","0","9540.02"
"Elford Inc - Charlotte","A2130","0.00","0.00","0","0.00","0.00","0","0","403400.25","0.00","25.86","0.00","0.00","0","403400.25"
"Elite Management Group USA, LLC- Charlotte","A1942","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Elm Street General Contractors - Greensboro","A1952","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","100.00","0.00","-125","-100"
"Elm Street General Contractors - Raleigh","60","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","76413.00","0.00","10.88","-76413"
"FLEMING HOMES - Raleigh","605","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Fairview Custom Homes- Greenville","A1932","0.00","0.00","0","0.00","0.00","0","0","74523.99","0.00","23.44","0.00","0.00","0","74523.99"
"Faithwood Construction - Charlotte","A1779","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","89349.00","0.00","26.87","-89349"
"Fallcross Construction - Charlotte","A1997","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","5023.97","0.00","19.8","-5023.97"
"Frank L. Blum Construction Company - Greensboro","A1731","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","-4013.07","0.00","548.02","4013.07"
"Frank L. Blum Construction Company- Raleigh","A1595","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"GUY C LEE - Shallotte Dispatch","A1824","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"GUY C LEE MILLWORK","5621","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Gammon Construction - Raleigh","65","0.00","0.00","0","0.00","0.00","0","0","54709.72","0.00","23.32","38763.01","0.00","-4.76","15946.71"
"Garman Homes - Greensboro","A1992","0.00","0.00","0","0.00","0.00","0","0","93807.00","0.00","27.01","77867.60","0.00","14.45","15939.4"
"Generation Homes - Charleston","A1639","0.00","0.00","0","0.00","0.00","0","0","124741.00","0.00","24.58","0.00","0.00","0","124741"
"Grand Tradition LLC - Raleigh","A1886","0.00","0.00","0","0.00","0.00","0","0","106308.98","0.00","-104.95","0.00","0.00","0","106308.98"
"Grand Tradition LLC- Greensboro","A1825","0.00","0.00","0","0.00","0.00","0","0","862.12","0.00","99.39","77309.00","0.00","26.52","-76446.88"
