"04-04-2025","Sales Comparison by Master Account","","Raleigh,Charleston,Charlotte,Wilmington,Greensboro,Myrtle Beach,Columbia,Greenville,Savannah,Atlanta,Richmond","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"Customer Name","Account #","NET MTD Sales","NET MTD Labor","NET GP%","NET MTDLY","NET MTDLY Labor","NET GP%","Comparison MTD-to-LYMTD","NET YTD","NET YTD Labor","NET GP%","NET LYTD","NET LYTD Labor","NET GP%","NET Comparison YTD-to-LYTD"
"Grand Tradition LLC- Greensboro","A1825","0.00","0.00","0","0.00","0.00","0","0","862.12","0.00","100","37368.01","0.00","29.24","-36505.89"
"Granville Homes - Greensboro","A1837","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","32976.00","0.00","16.41","-32976"
"Gray Wolf Homes - Raleigh","5000209","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","135.78","0.00","59.02","-135.78"
"Great Southern Homes - Columbia","A1700","0.00","0.00","0","-8547.70","0.00","262.03","8547.7","129944.99","0.00","26.06","738809.59","0.00","32.46","-608864.6"
"Great Southern Homes - Greenville","A1730","0.00","0.00","0","12434.00","0.00","26.27","-12434","253851.61","0.00","18.22","462864.23","0.00","18.93","-209012.62"
"Great Southern Homes - Myrtle Beach","A1737","650.00","0.00","18.23","0.00","0.00","0","650","229857.13","0.00","27.5","116389.27","0.00","30.34","113467.86"
"Great Southern Homes - Raleigh","A1944","0.00","0.00","0","0.00","0.00","0","0","8832.00","0.00","-73.96","18768.00","0.00","24.39","-9936"
"HMT Construction LLC - Raleigh","70","0.00","0.00","0","0.00","0.00","0","0","16501.99","0.00","8.92","25600.95","0.00","21.75","-9098.96"
"Hallmark Building - Wilmington","A2155","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Harbor Contracting - Charleston","A1754","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","8720.00","0.00","-515.27","-8720"
"Harold K. Jordan - Myrtle Beach","A2097","0.00","0.00","0","0.00","0.00","0","0","15674.67","0.00","-76.18","0.00","0.00","0","15674.67"
"Harold K. Jordan - Raleigh","1117","0.00","0.00","0","0.00","0.00","0","0","-2.00","0.00","409351.96","350654.28","0.00","-9.26","-350656.28"
"Herring Homes - Raleigh","A1686","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","70928.93","0.00","15.31","-70928.93"
"Hoeken Design Build - Raleigh","A1625","0.00","0.00","0","215.00","0.00","96.3","-215","29604.00","0.00","21.19","23610.07","0.00","20.46","5993.93"
"Holliday Homes - Charlotte","A1974","49778.00","0.00","29.75","0.00","0.00","0","49778","93624.09","0.00","20.75","43741.00","0.00","15.57","49883.09"
"Hopper Communities - Charlotte","A1537","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","63980.13","0.00","14.83","-63980.13"
"Hudson Brothers - Wilmington","A2110","0.00","0.00","0","0.00","0.00","0","0","111189.20","0.00","90.27","0.00","0.00","0","111189.2"
"Hunter Quinn- Greenville","A1929","0.00","0.00","0","0.00","0.00","0","0","280232.84","0.00","7.94","65515.00","0.00","19.17","214717.84"
"ICON Custom Builders - Greensboro","A2111","0.00","0.00","0","0.00","0.00","0","0","0.00","0.00","0","0.00","0.00","0","0"
"Isenhour Homes - Greensboro","A1973","0.00","0.00","0","0.00","0.00","0","0","15606.02","0.00","-33.44","5930.00","0.00","13.78","9676.02"
"J&N Developers - Raleigh","10","0.00","0.00","0","0.00","0.00","0","0","230.00","0.00","-106.64","14912.53","0.00","17.87","-14682.53"
"JSJ Builders Inc. - Raleigh","A1598","0.00","0.00","0","12515.62","0.00","22.9","-12515.62","73492.74","0.00","30.65","220937.73","0.00","28.81","-147444.99"
"K. Hovnanian - Charleston","A1644","0.00","0.00","0","0.00","0.00","0","0","72623.71","0.00","-6.37","8716.48","0.00","-1259.5","63907.23"
"KB Home - Charlotte","A1995","0.00","0.00","0","0.00","0.00","0","0","11009.00","0.00","1.13","75402.00","0.00","14.75","-64393"
"KB Home - Raleigh","34","14941.00","0.00","48.09","44533.99","0.00","-11.98","-29592.99","595257.04","0.00","26.94","1239045.21","0.00","12.68","-643788.17"
