"03-27-2025","Open PO Report by Vendor, Salesman, Date Created","From:01-27-2025 To 03-27-2025 (mm-dd-yyyy)","all","","","","","","",""
"","","","","","","","","","",""
"Vendor","Location","PO#","Status","Date Created","So#","AC#","Job Name","Sales Person","CP#","Open total"
"","Raleigh","P120-1222623","Approved","03/18/2025","S120-308944","Lennar - Raleigh","863 Edge of Auburn","","britney.pierson","2,195.21"
"","Raleigh","P120-1222611","Approved","03/18/2025","S120-308904","Chesapeake Homes - Raleigh","25 Highgate","","linda.clifton","5,358.38"
"","Raleigh","P120-1222593","Approved","03/18/2025","S120-308849","Lennar - Raleigh","757 Edge of Auburn","","britney.pierson","1,350.09"
"","Raleigh","P120-1222551","Approved","03/18/2025","S120-308801","Toll Brothers - Raleigh","18 Auburn Station","","patricia.johnson","8,781.27"
"","Raleigh","P120-1222548","Approved","03/18/2025","S120-308785","Lennar - Raleigh","761 Edge of Auburn","","britney.pierson","1,721.99"
"","Raleigh","P120-1222519","Approved","03/18/2025","S120-308647","Lennar - Raleigh","760 Edge of Auburn","","britney.pierson","1,556.73"
"","Raleigh","P120-1222466","Approved","03/17/2025","S120-308692","KB Home - Raleigh","232 Turkey Ridge","","faith.hudson","148.22"
"","Raleigh","P120-1222459","Approved","03/17/2025","S120-308678","Stanley Martin Homes - Raleigh","24 Williams Grove","","faith.hudson","8,629.37"
"","Raleigh","P120-1222437","Approved","03/17/2025","S120-308620","New Home Inc. LLC - Raleigh","3 Sippihaw Springs","","ryka.heath","5,309.33"
"","Raleigh","P120-1222418","Approved","03/17/2025","S120-308393","Lennar - Raleigh","758 Edge of Auburn","","britney.pierson","1,995.81"
"","Raleigh","P120-1222276","Approved","03/17/2025","S120-308331","Lennar - Raleigh","756 Edge of Auburn","","britney.pierson","1,422.53"
"","Raleigh","P120-1222235","Approved","03/17/2025","S120-308251","Lennar - Raleigh","759 Edge of Auburn","","britney.pierson","1,499.39"
"","Raleigh","P120-1222201","Approved","03/17/2025","S120-308261","TRI Pointe Homes - Raleigh","57 Holding Village Mews TH","","kristina.raynor.ral","245.00"
"","Raleigh","P120-1222135","Approved","03/17/2025","S120-308153","Lennar - Raleigh","882 Edge of Auburn","","britney.pierson","1,557.08"
"","Raleigh","P120-1222097","Approved","03/17/2025","S120-308161","New Home Inc. LLC - Raleigh","30 Duncans Creek","","ryka.heath","4,574.06"
"","Raleigh","P120-1222052","Approved","03/17/2025","S120-308064","Meritage - Raleigh","295 Oak Manor","","linda.clifton","4,186.52"
"","Raleigh","P120-1221991","Approved","03/17/2025","S120-308028","Toll Brothers - Raleigh","36 Regency @ Old Towne","","patricia.johnson","8,950.98"
"","Raleigh","P120-1221970","Approved","03/17/2025","S120-308031","Lennar - Raleigh","881 Edge of Auburn","","britney.pierson","1,423.51"
"","Raleigh","P120-1221959","Approved","03/17/2025","S120-307931","Beazer Homes - Raleigh","5 Watkins Grove","","susan.carroll","4,203.23"
"","Raleigh","P120-1221953","Approved","03/17/2025","S120-308013","New Home Inc. LLC - Raleigh","15 Gardner Farms","","ryka.heath","5,066.87"
"","Raleigh","P120-1221944","Approved","03/17/2025","S120-307991","Lennar - Raleigh","884 Edge of Auburn","","britney.pierson","1,387.08"
"","Raleigh","P120-1221876","Approved","03/17/2025","S120-307906","New Home Inc. LLC - Raleigh","24 Gardner Farms","","ryka.heath","6,142.61"
"","Raleigh","P120-1221874","Approved","03/17/2025","S120-307903","RiverWild Homes - Raleigh","Wilder Farms","","patricia.johnson","7,350.78"
"","Raleigh","P120-1221805","Approved","03/14/2025","S120-307676","RiverWild Homes - Raleigh","Dunn House","","patricia.johnson","10,274.72"
"","Raleigh","P120-1221790","Approved","03/14/2025","S120-307630","Lennar - Raleigh","162 Annandale","","britney.pierson","1,469.04"
"","Raleigh","P120-1221787","Approved","03/14/2025","S120-307675","Toll Brothers - Raleigh","51 Millstone","","kristina.raynor.ral","63.90"
"","Raleigh","P120-1221786","Approved","03/14/2025","S120-307567","Scott Lee Homes, Inc - Raleigh","9 Dean Manor","","linda.clifton","6,032.18"
"","Raleigh","P120-1221773","Approved","03/14/2025","S120-307600","Lennar - Raleigh","865 Edge of Auburn","","britney.pierson","1,889.08"
"","Raleigh","P120-1221757","Approved","03/14/2025","S120-307549","Lennar - Raleigh","867 Edge of Auburn","","britney.pierson","2,247.16"
"","Raleigh","P120-1221736","Approved","03/14/2025","S120-307379","New Home Inc. LLC - Raleigh","11 Gardner Farms","","ryka.heath","5,003.35"
